distance,loss
645.000,29.754
645.100,29.754
645.200,29.756
645.300,29.758
645.400,29.761
645.500,29.763
645.600,29.763
645.700,29.760
645.800,29.754
645.900,29.744
646.000,29.731
646.100,29.719
646.200,29.710
646.300,29.706
646.400,29.710
646.500,29.724
646.600,29.751
646.700,29.792
646.800,29.845
646.900,29.907
647.000,29.973
647.100,30.040
647.200,30.104
647.300,30.162
647.400,30.209
647.500,30.242
647.600,30.262
647.700,30.271
647.800,30.270
647.900,30.263
648.000,30.250
648.100,30.234
648.200,30.217
648.300,30.200
648.400,30.185
648.500,30.174
648.600,30.167
648.700,30.165
648.800,30.171
648.900,30.184
649.000,30.207
649.100,30.240
649.200,30.281
649.300,30.325
649.400,30.368
649.500,30.406
649.600,30.435
649.700,30.450
649.800,30.448
649.900,30.424
650.000,30.382
650.100,30.325
650.200,30.258
650.300,30.187
650.400,30.117
650.500,30.052
650.600,29.998
650.700,29.958
650.800,29.934
650.900,29.923
651.000,29.922
651.100,29.929
651.200,29.943
651.300,29.960
651.400,29.978
651.500,29.994
651.600,30.008
651.700,30.019
651.800,30.026
651.900,30.027
652.000,30.023
652.100,30.012
652.200,29.993
652.300,29.967
652.400,29.933
652.500,29.895
652.600,29.857
652.700,29.821
652.800,29.790
652.900,29.767
653.000,29.755
653.100,29.756
653.200,29.772
653.300,29.798
653.400,29.831
653.500,29.868
653.600,29.906
653.700,29.942
653.800,29.972
653.900,29.994
654.000,30.006
654.100,30.011
654.200,30.010
654.300,30.005
654.400,29.999
654.500,29.991
654.600,29.986
654.700,29.983
654.800,29.984
654.900,29.987
655.000,29.991
655.100,29.994
655.200,29.996
655.300,29.995
655.400,29.989
655.500,29.978
655.600,29.961
655.700,29.938
655.800,29.912
655.900,29.881
656.000,29.848
656.100,29.813
656.200,29.776
656.300,29.740
656.400,29.703
656.500,29.668
656.600,29.635
656.700,29.604
656.800,29.577
656.900,29.553
657.000,29.534
657.100,29.519
657.200,29.510
657.300,29.506
657.400,29.505
657.500,29.506
657.600,29.510
657.700,29.515
657.800,29.520
657.900,29.525
658.000,29.528
658.100,29.531
658.200,29.532
658.300,29.532
658.400,29.532
658.500,29.530
658.600,29.527
658.700,29.522
658.800,29.517
658.900,29.512
659.000,29.508
659.100,29.505
659.200,29.505
659.300,29.508
659.400,29.515
659.500,29.526
659.600,29.543
659.700,29.565
659.800,29.591
659.900,29.620
660.000,29.652
660.100,29.687
660.200,29.723
660.300,29.760
660.400,29.797
660.500,29.834
660.600,29.869
660.700,29.901
660.800,29.930
660.900,29.954
661.000,29.973
661.100,29.985
661.200,29.990
661.300,29.990
661.400,29.987
661.500,29.982
661.600,29.977
661.700,29.975
661.800,29.977
661.900,29.984
662.000,30.000
662.100,30.021
662.200,30.048
662.300,30.079
662.400,30.112
662.500,30.146
662.600,30.181
662.700,30.215
662.800,30.246
662.900,30.276
663.000,30.304
663.100,30.331
663.200,30.359
663.300,30.386
663.400,30.414
663.500,30.443
663.600,30.474
663.700,30.506
663.800,30.538
663.900,30.569
664.000,30.599
664.100,30.627
664.200,30.652
664.300,30.673
664.400,30.689
664.500,30.701
664.600,30.708
664.700,30.711
664.800,30.709
664.900,30.702
665.000,30.691
665.100,30.676
665.200,30.656
665.300,30.632
665.400,30.606
665.500,30.576
665.600,30.545
665.700,30.513
665.800,30.481
665.900,30.448
666.000,30.417
666.100,30.387
666.200,30.357
666.300,30.328
666.400,30.300
666.500,30.273
666.600,30.245
666.700,30.219
666.800,30.192
666.900,30.166
667.000,30.139
667.100,30.112
667.200,30.084
667.300,30.055
667.400,30.024
667.500,29.992
667.600,29.957
667.700,29.921
667.800,29.886
667.900,29.852
668.000,29.821
668.100,29.793
668.200,29.772
668.300,29.756
668.400,29.749
668.500,29.748
668.600,29.752
668.700,29.758
668.800,29.764
668.900,29.767
669.000,29.766
669.100,29.758
669.200,29.741
669.300,29.716
669.400,29.685
669.500,29.650
669.600,29.615
669.700,29.582
669.800,29.552
669.900,29.530
670.000,29.516
670.100,29.511
670.200,29.512
670.300,29.516
670.400,29.523
670.500,29.528
670.600,29.530
670.700,29.527
670.800,29.516
670.900,29.497
671.000,29.472
671.100,29.442
671.200,29.409
671.300,29.374
671.400,29.340
671.500,29.307
671.600,29.278
671.700,29.253
671.800,29.235
671.900,29.223
672.000,29.220
672.100,29.227
672.200,29.244
672.300,29.274
672.400,29.317
672.500,29.371
672.600,29.434
672.700,29.501
672.800,29.569
672.900,29.633
673.000,29.690
673.100,29.735
673.200,29.765
673.300,29.780
673.400,29.783
673.500,29.778
673.600,29.769
673.700,29.758
673.800,29.751
673.900,29.750
674.000,29.759
674.100,29.779
674.200,29.807
674.300,29.841
674.400,29.877
674.500,29.913
674.600,29.946
674.700,29.972
674.800,29.989
674.900,29.996
675.000,29.996
675.100,29.991
675.200,29.983
675.300,29.977
675.400,29.974
675.500,29.977
675.600,29.988
675.700,30.009
675.800,30.038
675.900,30.070
676.000,30.106
676.100,30.140
676.200,30.172
676.300,30.199
676.400,30.218
676.500,30.229
676.600,30.232
676.700,30.230
676.800,30.225
676.900,30.219
677.000,30.214
677.100,30.212
677.200,30.215
677.300,30.224
677.400,30.239
677.500,30.260
677.600,30.287
677.700,30.320
677.800,30.359
677.900,30.403
678.000,30.454
678.100,30.510
678.200,30.569
678.300,30.630
678.400,30.692
678.500,30.753
678.600,30.810
678.700,30.863
678.800,30.910
678.900,30.950
679.000,30.985
