time,distance
0.000,1196.303
0.100,1195.865
0.200,1195.431
0.300,1195.004
0.400,1194.589
0.500,1194.185
0.600,1193.780
0.700,1193.354
0.800,1192.889
0.900,1192.374
1.000,1191.858
1.100,1191.411
1.200,1191.104
1.300,1190.995
1.400,1191.031
1.500,1191.102
1.600,1191.096
1.700,1190.910
1.800,1190.544
1.900,1190.062
2.000,1189.530
2.100,1189.013
2.200,1188.539
2.300,1188.112
2.400,1187.732
2.500,1187.400
2.600,1187.080
2.700,1186.702
2.800,1186.196
2.900,1185.492
3.000,1184.607
3.100,1183.663
3.200,1182.792
3.300,1182.122
3.400,1181.680
3.500,1181.341
3.600,1180.962
3.700,1180.403
3.800,1179.608
3.900,1178.683
4.000,1177.755
4.100,1176.950
4.200,1176.347
4.300,1175.908
4.400,1175.577
4.500,1175.297
4.600,1175.013
4.700,1174.668
4.800,1174.207
4.900,1173.574
5.000,1172.742
5.100,1171.807
5.200,1170.894
5.300,1170.129
5.400,1169.604
5.500,1169.238
5.600,1168.891
5.700,1168.426
5.800,1167.729
5.900,1166.851
6.000,1165.911
6.100,1165.029
6.200,1164.314
6.300,1163.783
6.400,1163.404
6.500,1163.145
6.600,1162.968
6.700,1162.771
6.800,1162.411
6.900,1161.742
7.000,1160.633
7.100,1159.190
7.200,1157.710
7.300,1156.499
7.400,1155.847
7.500,1155.760
7.600,1155.950
7.700,1156.117
7.800,1155.966
7.900,1155.380
8.000,1154.474
8.100,1153.374
8.200,1152.208
8.300,1151.092
8.400,1150.127
8.500,1149.409
8.600,1149.035
8.700,1149.007
8.800,1149.137
8.900,1149.216
9.000,1149.034
9.100,1148.468
9.200,1147.608
9.300,1146.582
9.400,1145.514
9.500,1144.507
9.600,1143.592
9.700,1142.785
9.800,1142.100
9.900,1141.546
10.000,1141.096
10.100,1140.718
10.200,1140.376
10.300,1140.038
10.400,1139.669
10.500,1139.236
10.600,1138.704
10.700,1138.044
10.800,1137.259
10.900,1136.363
11.000,1135.372
11.100,1134.308
11.200,1133.261
11.300,1132.360
11.400,1131.732
11.500,1131.488
11.600,1131.545
11.700,1131.686
11.800,1131.693
11.900,1131.360
12.000,1130.659
12.100,1129.714
12.200,1128.652
12.300,1127.600
12.400,1126.628
12.500,1125.756
12.600,1124.998
12.700,1124.369
12.800,1123.862
12.900,1123.446
13.000,1123.087
13.100,1122.751
13.200,1122.404
13.300,1122.013
13.400,1121.542
13.500,1120.960
13.600,1120.247
13.700,1119.414
13.800,1118.477
13.900,1117.451
14.000,1116.379
14.100,1115.377
14.200,1114.574
14.300,1114.095
14.400,1113.999
14.500,1114.115
14.600,1114.227
14.700,1114.119
14.800,1113.629
14.900,1112.818
15.000,1111.809
15.100,1110.724
15.200,1109.674
15.300,1108.715
15.400,1107.885
15.500,1107.220
15.600,1106.746
15.700,1106.386
15.800,1106.022
15.900,1105.536
16.000,1104.827
16.100,1103.941
16.200,1103.002
16.300,1102.136
16.400,1101.461
16.500,1100.978
16.600,1100.609
16.700,1100.277
16.800,1099.908
16.900,1099.483
17.000,1099.033
17.100,1098.591
17.200,1098.189
17.300,1097.816
17.400,1097.424
17.500,1096.962
17.600,1096.377
17.700,1095.650
17.800,1094.797
17.900,1093.838
18.000,1092.794
18.100,1091.723
18.200,1090.745
18.300,1089.987
18.400,1089.575
18.500,1089.530
18.600,1089.661
18.700,1089.752
18.800,1089.584
18.900,1089.027
19.000,1088.171
19.100,1087.142
19.200,1086.069
19.300,1085.054
19.400,1084.133
19.500,1083.325
19.600,1082.650
19.700,1082.117
19.800,1081.687
19.900,1081.309
20.000,1080.931
20.100,1080.512
20.200,1080.065
20.300,1079.621
20.400,1079.212
20.500,1078.858
20.600,1078.515
20.700,1078.111
20.800,1077.572
20.900,1076.835
21.000,1075.950
21.100,1075.024
21.200,1074.164
21.300,1073.472
21.400,1072.959
21.500,1072.575
21.600,1072.269
21.700,1071.990
21.800,1071.683
21.900,1071.290
22.000,1070.754
22.100,1070.020
22.200,1069.121
22.300,1068.179
22.400,1067.323
22.500,1066.679
22.600,1066.258
22.700,1065.925
22.800,1065.533
22.900,1064.937
23.000,1064.096
23.100,1063.146
23.200,1062.236
23.300,1061.515
23.400,1061.046
23.500,1060.704
23.600,1060.342
23.700,1059.815
23.800,1059.042
23.900,1058.124
24.000,1057.189
24.100,1056.365
24.200,1055.743
24.300,1055.292
24.400,1054.952
24.500,1054.666
24.600,1054.377
24.700,1054.034
24.800,1053.587
24.900,1052.987
25.000,1052.203
25.100,1051.301
25.200,1050.384
25.300,1049.555
25.400,1048.901
25.500,1048.415
25.600,1048.046
25.700,1047.743
25.800,1047.456
25.900,1047.132
26.000,1046.718
26.100,1046.162
26.200,1045.416
26.300,1044.527
26.400,1043.601
26.500,1042.746
26.600,1042.067
26.700,1041.574
26.800,1041.195
26.900,1040.857
27.000,1040.488
27.100,1040.066
27.200,1039.618
27.300,1039.175
27.400,1038.769
27.500,1038.396
27.600,1038.007
27.700,1037.554
27.800,1036.984
27.900,1036.271
28.000,1035.431
28.100,1034.481
28.200,1033.438
28.300,1032.355
28.400,1031.357
28.500,1030.576
28.600,1030.144
28.700,1030.104
28.800,1030.253
28.900,1030.351
29.000,1030.156
29.100,1029.515
29.200,1028.581
29.300,1027.571
29.400,1026.702
29.500,1026.133
29.600,1025.769
29.700,1025.445
29.800,1024.998
29.900,1024.297
30.000,1023.406
30.100,1022.459
30.200,1021.586
30.300,1020.906
30.400,1020.413
30.500,1020.050
30.600,1019.761
30.700,1019.489
30.800,1019.175
30.900,1018.763
31.000,1018.195
31.100,1017.421
31.200,1016.500
31.300,1015.561
31.400,1014.737
31.500,1014.152
31.600,1013.779
31.700,1013.458
31.800,1013.024
31.900,1012.321
32.000,1011.363
32.100,1010.360
32.200,1009.527
32.300,1009.078
32.400,1009.041
32.500,1009.191
32.600,1009.287
32.700,1009.090
32.800,1008.489
32.900,1007.597
33.000,1006.545
33.100,1005.468
33.200,1004.463
33.300,1003.558
33.400,1002.772
33.500,1002.121
33.600,1001.608
33.700,1001.189
33.800,1000.814
33.900,1000.430
34.000,1000.005
34.100,999.555
34.200,999.115
34.300,998.714
34.400,998.369
34.500,998.024
34.600,997.604
34.700,997.034
34.800,996.260
34.900,995.353
35.000,994.429
35.100,993.601
35.200,992.969
35.300,992.512
35.400,992.151
35.500,991.811
35.600,991.421
35.700,990.981
35.800,990.529
35.900,990.102
36.000,989.734
36.100,989.396
36.200,989.011
36.300,988.502
36.400,987.797
36.500,986.923
36.600,985.991
36.700,985.117
36.800,984.414
36.900,983.907
37.000,983.523
37.100,983.184
37.200,982.815
37.300,982.387
37.400,981.933
37.500,981.494
37.600,981.109
37.700,980.775
37.800,980.419
37.900,979.957
38.000,979.310
38.100,978.457
38.200,977.514
38.300,976.615
38.400,975.891
38.500,975.410
